"SOURCE ID: Author/Org, Date, Info",Link,World / Drawdown Region,Specific Geographic Location,Source Validation Code,Year / Date,License Code,Raw Data Input,Original Units,Conversion calculation,Common Units,Weight,Assumptions,Crop,Exclude Data?
"Prasad et al. 2010; annual crop + eucalyptus (11 x 1m spacing), based on intercropped and sole crop yields in kg/ha in 2001; Prasad, J. V. N. S., Korwar, G. R., Rao, K. V., Mandal, U. K., Rao, C. A. R., Rao, G. R., ... & Rao, M. R. (2010). Tree row spacing affected agronomic and economic performance of Eucalyptus-based agroforestry in Andhra Pradesh, Southern India. Agroforestry Systems, 78(3), 253-267.",https://link.springer.com/article/10.1007/s10457-009-9275-2,Asia (Sans Japan),India,,,,-0.0030991735537190257,%,,%,,"Calculated based on reported cowpea yields in intercropped system with eucalyptus (11 x 1m spacing) and sole crop systems in 2001; see Table 3, p. 7",Cow peas,True
"Prasad et al. 2010; annual crop + eucalyptus (7 x 1.5m spacing), based on intercropped and sole crop yields in kg/ha in 2001; Prasad, J. V. N. S., Korwar, G. R., Rao, K. V., Mandal, U. K., Rao, C. A. R., Rao, G. R., ... & Rao, M. R. (2010). Tree row spacing affected agronomic and economic performance of Eucalyptus-based agroforestry in Andhra Pradesh, Southern India. Agroforestry Systems, 78(3), 253-267.",https://link.springer.com/article/10.1007/s10457-009-9275-3,Asia (Sans Japan),India,,,,-0.04338842975206614,%,,%,,"Calculated based on reported cowpea yields in intercropped system with eucalyptus(7 x 1.5m spacing) and sole crop systems in 2001; see Table 3, p. 7",Cow peas,True
"Prasad et al. 2010; annual crop + eucalyptus (6 x 1m spacing), based on intercropped and sole crop yields in kg/ha in 2001; Prasad, J. V. N. S., Korwar, G. R., Rao, K. V., Mandal, U. K., Rao, C. A. R., Rao, G. R., ... & Rao, M. R. (2010). Tree row spacing affected agronomic and economic performance of Eucalyptus-based agroforestry in Andhra Pradesh, Southern India. Agroforestry Systems, 78(3), 253-267.",https://link.springer.com/article/10.1007/s10457-009-9275-4,Asia (Sans Japan),India,,,,-0.10640495867768596,%,,%,,"Calculated based on reported cowpea yields in intercropped system with eucalyptus (6 x 1m spacing) and sole crop systems in 2001; see Table 3, p. 7",Cow peas,True
"Prasad et al. 2010; annual crop + eucalyptus (3 x 2m spacing), based on intercropped and sole crop yields in kg/ha in 2001; Prasad, J. V. N. S., Korwar, G. R., Rao, K. V., Mandal, U. K., Rao, C. A. R., Rao, G. R., ... & Rao, M. R. (2010). Tree row spacing affected agronomic and economic performance of Eucalyptus-based agroforestry in Andhra Pradesh, Southern India. Agroforestry Systems, 78(3), 253-267.",https://link.springer.com/article/10.1007/s10457-009-9275-5,Asia (Sans Japan),India,,,,-0.09194214876033058,%,,%,,"Calculated based on reported cowpea yields in intercropped system with eucalyptus (3 x 2m spacing) and sole crop systems in 2001; see Table 3, p. 7",Cow peas,True
"Prasad et al. 2010; annual crop + eucalyptus (10 x 1.5m spacing), based on intercropped and sole crop yields in kg/ha in 2004; Prasad, J. V. N. S., Korwar, G. R., Rao, K. V., Mandal, U. K., Rao, C. A. R., Rao, G. R., ... & Rao, M. R. (2010). Tree row spacing affected agronomic and economic performance of Eucalyptus-based agroforestry in Andhra Pradesh, Southern India. Agroforestry Systems, 78(3), 253-267.",https://link.springer.com/article/10.1007/s10457-009-9275-6,Asia (Sans Japan),India,,,,-0.33732876712328763,%,,%,,"Calculated based on reported cowpea yields in intercropped system with eucalyptus (10 x 1.5m spacing) and sole crop systems in 2004; see Table 3, p. 7",Cow peas,True
"Prasad et al. 2010; annual crop + eucalyptus (11 x 1m spacing), based on intercropped and sole crop yields in kg/ha in 2004; Prasad, J. V. N. S., Korwar, G. R., Rao, K. V., Mandal, U. K., Rao, C. A. R., Rao, G. R., ... & Rao, M. R. (2010). Tree row spacing affected agronomic and economic performance of Eucalyptus-based agroforestry in Andhra Pradesh, Southern India. Agroforestry Systems, 78(3), 253-267.",https://link.springer.com/article/10.1007/s10457-009-9275-7,Asia (Sans Japan),India,,,,-0.4143835616438356,%,,%,,"Calculated based on reported cowpea yields in intercropped system with eucalyptus (11 x 1m spacing) and sole crop systems in 2004; see Table 3, p. 7",Cow peas,True
"Prasad et al. 2010; annual crop + eucalyptus (7 x 1.5m spacing), based on intercropped and sole crop yields in kg/ha in 2004; Prasad, J. V. N. S., Korwar, G. R., Rao, K. V., Mandal, U. K., Rao, C. A. R., Rao, G. R., ... & Rao, M. R. (2010). Tree row spacing affected agronomic and economic performance of Eucalyptus-based agroforestry in Andhra Pradesh, Southern India. Agroforestry Systems, 78(3), 253-267.",https://link.springer.com/article/10.1007/s10457-009-9275-8,Asia (Sans Japan),India,,,,-0.6078767123287672,%,,%,,"Calculated based on reported cowpea yields in intercropped system with eucalyptus (7 x 1.5m spacing) and sole crop systems in 2004; see Table 3, p. 7",Cow peas,True
"Prasad et al. 2010; annual crop + eucalyptus (6 x 1m spacing), based on intercropped and sole crop yields in kg/ha in 2004; Prasad, J. V. N. S., Korwar, G. R., Rao, K. V., Mandal, U. K., Rao, C. A. R., Rao, G. R., ... & Rao, M. R. (2010). Tree row spacing affected agronomic and economic performance of Eucalyptus-based agroforestry in Andhra Pradesh, Southern India. Agroforestry Systems, 78(3), 253-267.",https://link.springer.com/article/10.1007/s10457-009-9275-9,Asia (Sans Japan),India,,,,-0.511986301369863,%,,%,,"Calculated based on reported cowpea yields in intercropped system with eucalyptus (6 x 1m spacing) and sole crop systems in 2004; see Table 3, p. 7",Cow peas,True
"Prasad et al. 2010; annual crop + eucalyptus (3 x 2m spacing), based on intercropped and sole crop yields in kg/ha in 2004; Prasad, J. V. N. S., Korwar, G. R., Rao, K. V., Mandal, U. K., Rao, C. A. R., Rao, G. R., ... & Rao, M. R. (2010). Tree row spacing affected agronomic and economic performance of Eucalyptus-based agroforestry in Andhra Pradesh, Southern India. Agroforestry Systems, 78(3), 253-267.",https://link.springer.com/article/10.1007/s10457-009-9275-10,Asia (Sans Japan),India,,,,-0.7705479452054794,%,,%,,"Calculated based on reported cowpea yields in intercropped system with eucalyptus (3 x 2m spacing) and sole crop systems in 2004; see Table 3, p. 7",Cow peas,True
"Xu et al. 2019; % yield increase for total yields in peanut-apple intercrop compared to peanut monoculture; Xu, H., Bi, H., Gao, L., & Yun, L. (2019). Alley Cropping Increases Land Use Efficiency and Economic Profitability Across the Combination Cultivation Period. Agronomy, 9(1), 34.",https://www.mdpi.com/2073-4395/9/1/34/htm,Asia (Sans Japan),China,,,,0.7382812499999998,%,,%,,"Calculated based on yields (t/ha) of peanut and apple in intercropped system compared to yield of peanut monoculture, in year 6 after system establishment",Other,
"Xu et al. 2019; % yield increase for total yields in millet-apple intercrop compared to millet monoculture; Xu, H., Bi, H., Gao, L., & Yun, L. (2019). Alley Cropping Increases Land Use Efficiency and Economic Profitability Across the Combination Cultivation Period. Agronomy, 9(1), 34.",https://www.mdpi.com/2073-4395/9/1/34/htm,Asia (Sans Japan),China,,,,0.580858085808581,%,,%,,"Calculated based on yields (t/ha) of millet and apple in intercropped system compared to yield of millet monoculture, in year 6 after system establishment",Other,
"Xu et al. 2019; % yield increase for total yields in wheat-apple intercrop compared to wheatt monoculture; Xu, H., Bi, H., Gao, L., & Yun, L. (2019). Alley Cropping Increases Land Use Efficiency and Economic Profitability Across the Combination Cultivation Period. Agronomy, 9(1), 34.",https://www.mdpi.com/2073-4395/9/1/34/htm,Asia (Sans Japan),China,,,,0.07188160676532762,%,,%,,"Calculated based on yields (t/ha) of wheat and apple in intercropped system compared to yield of wheat monoculture, in year 6 after system establishment",Wheat,
,,,,,,,,%,,%,,,,
,,,,,,,,%,,%,,,,
,,,,,,,,%,,%,,,,
,,,,,,,,%,,%,,,,
,,,,,,,,%,,%,,,,
